"","ID","Age.Cohort","Age","Gender","Expenditures","Ethnicity"
"214",28514,3,15,1,3959,"Hispanic"
"215",28728,4,20,2,12854,"White"
"216",28948,1,1,2,966,"Hispanic"
"217",29038,4,21,2,7339,"Hispanic"
"218",29193,5,24,2,46703,"White"
"219",29411,2,8,1,3378,"Hispanic"
"220",29440,2,8,2,2807,"White"
"221",29447,5,30,2,46246,"White"
"222",29458,3,17,2,4513,"Hispanic"
"223",29506,6,56,1,48215,"White"
"224",29574,3,16,2,2357,"White"
"225",29795,4,20,2,9597,"White"
"226",29804,3,14,2,386,"Asian"
"227",29840,2,7,1,1473,"Hispanic"
"228",29885,3,16,2,4112,"Hispanic"
"229",29902,4,19,1,8530,"Asian"
"230",29914,1,5,2,1315,"Asian"
"231",30012,3,14,2,4653,"Hispanic"
"232",30234,6,78,1,55430,"Other"
"233",30385,2,9,2,722,"White"
"234",30438,4,19,1,7667,"Hispanic"
"235",30481,4,20,2,12587,"Hispanic"
"236",30517,2,7,2,1725,"Asian"
"237",30617,1,4,1,791,"White"
"238",30673,2,10,1,2189,"White"
"239",30689,1,3,2,668,"Hispanic"
"240",30780,4,20,1,6218,"Hispanic"
"241",30909,3,17,2,2015,"Hispanic"
"242",31063,4,21,2,8948,"Hispanic"
"243",31163,6,71,1,52472,"White"
"244",31168,2,11,1,2918,"Other"
"245",31277,1,2,2,561,"Hispanic"
"246",31307,6,88,1,54655,"White"
"247",31437,6,70,1,59622,"Hispanic"
"248",31632,5,23,2,32344,"Asian"
"249",31642,2,11,1,3335,"White"
"250",31658,6,60,1,46873,"Black"
"251",31859,2,10,2,2380,"White"
"252",31910,3,17,1,4921,"Hispanic"
"253",31919,2,10,2,1455,"White"
"254",31960,5,25,2,38730,"White"
"255",31973,5,38,1,35088,"Hispanic"
"256",32161,2,11,1,2059,"Asian"
"257",32186,3,16,1,4054,"Asian"
"258",32326,2,7,2,1212,"Black"
"259",32395,4,19,2,12178,"White"
"260",32398,2,11,2,1084,"Hispanic"
"261",32519,3,15,1,3529,"Asian"
"262",32604,4,20,1,11775,"White"
"263",32664,5,24,1,36279,"White"
"264",32745,5,27,1,47021,"White"
"265",32781,2,8,2,641,"Asian"
"266",32893,4,20,2,6362,"White"
"267",33032,2,11,1,3695,"Hispanic"
"268",33305,1,4,2,1437,"Asian"
"269",33339,2,11,2,1582,"White"
"270",33360,5,25,1,41984,"Asian"
"271",33375,1,2,2,1347,"White"
"272",33464,4,18,1,13593,"White"
"273",33509,1,1,1,1767,"Hispanic"
"274",33551,2,12,1,2880,"White"
"275",33643,3,13,2,4483,"Asian"
"276",33886,3,13,2,4003,"White"
"277",34146,6,69,2,67884,"White"
"278",34278,5,23,1,46590,"White"
"279",34522,5,31,2,39007,"White"
"280",34681,4,21,2,10046,"White"
"281",34751,2,9,2,2695,"Asian"
"282",34763,6,85,2,64898,"White"
"283",34821,5,26,1,36738,"Hispanic"
"284",34983,5,27,2,34394,"White"
"285",34997,6,68,2,49502,"Hispanic"
"286",35066,3,13,2,4554,"Black"
"287",35093,2,9,2,1824,"Asian"
"288",35298,5,30,1,43134,"White"
"289",35360,2,10,1,1622,"Other"
"290",35503,3,13,2,3522,"Hispanic"
"291",35590,2,8,2,2776,"Hispanic"
"292",35630,4,18,1,14578,"White"
"293",35656,4,21,2,10150,"Hispanic"
"294",35666,4,20,1,9207,"White"
"295",35684,4,20,1,7605,"Hispanic"
"296",35799,2,8,2,2954,"Hispanic"
"297",35970,3,13,2,2797,"Black"
"298",36123,6,59,2,42739,"Asian"
"299",36179,3,15,1,2900,"Asian"
"300",36391,1,1,1,384,"White"
"301",36459,4,21,1,9504,"Asian"
"302",36576,5,27,1,38031,"Hispanic"
"303",36578,4,19,2,7083,"White"
"304",36720,2,9,2,2877,"White"
"305",36802,2,6,2,1173,"Hispanic"
"306",37075,4,21,1,12083,"Hispanic"
"307",37287,4,19,2,3157,"White"
"308",37297,3,15,2,4533,"Hispanic"
"309",37335,3,17,1,3694,"White"
"310",37415,4,18,1,8299,"White"
"311",37454,6,76,2,62097,"Hispanic"
"312",37524,4,18,2,11935,"Hispanic"
"313",37694,4,20,2,11034,"Hispanic"
"314",37731,4,19,2,12481,"White"
"315",37846,4,18,1,9200,"Asian"
"316",38017,4,20,1,10294,"Hispanic"
"317",38104,4,21,2,11668,"Asian"
"318",38121,5,37,1,37948,"White"
"319",38584,3,14,1,5530,"White"
"320",38732,3,16,2,3909,"Black"
"321",38889,3,16,2,5041,"Asian"
"322",38975,5,24,1,39345,"White"
"323",39060,4,18,1,16310,"Hispanic"
"324",39095,4,20,1,6272,"White"
"325",39131,1,0,1,685,"White"
"326",39134,2,9,2,2490,"Hispanic"
"327",39287,6,59,1,44734,"White"
"328",39672,6,54,1,52833,"White"
"329",39767,2,10,1,2341,"Black"
"330",39795,1,5,1,1088,"White"
"331",39942,3,14,2,3399,"Other"
"332",39999,4,21,1,11811,"Hispanic"
"333",40105,3,17,2,3945,"Hispanic"
"334",40159,6,73,1,60198,"Asian"
"335",40277,2,9,1,2781,"Hispanic"
"336",40313,1,4,1,374,"Asian"
"337",40409,5,30,2,36469,"White"
"338",40412,2,12,2,2269,"White"
"339",40847,4,21,1,10973,"White"
"340",40892,3,13,2,1597,"Hispanic"
"341",40952,5,25,1,48684,"Hispanic"
"342",40987,3,14,1,2366,"White"
"343",41163,5,32,1,45017,"White"
"344",41176,5,32,2,43545,"Black"
"345",41831,2,7,2,1645,"White"
"346",41850,3,13,2,4975,"Hispanic"
"347",41968,3,14,1,3257,"Hispanic"
"348",42216,4,18,2,7878,"Asian"
"349",42229,3,16,1,3977,"White"
"350",42262,2,6,2,2247,"Hispanic"
"351",42265,3,16,1,4215,"White"
"352",42348,6,74,2,52041,"White"
"353",42489,2,9,2,1758,"Hispanic"
"354",42590,5,24,2,51392,"Hispanic"
"355",42593,1,0,1,1398,"Black"
"356",42657,6,86,2,60452,"White"
"357",42732,3,17,1,4495,"Hispanic"
"358",42804,3,15,1,2744,"Hispanic"
"359",42905,6,74,1,57760,"White"
"360",43039,3,16,2,3561,"Hispanic"
"361",43188,4,21,1,10063,"White"
"362",43245,2,11,1,2906,"Hispanic"
"363",43291,2,11,2,2140,"Other"
"364",43308,5,34,1,46325,"White"
"365",43455,6,57,2,48363,"White"
"366",43478,3,16,1,5637,"Hispanic"
"367",43516,3,16,1,3740,"White"
"368",43574,3,13,2,4014,"Asian"
"369",43586,2,8,1,2904,"Hispanic"
"370",43735,2,9,1,2854,"White"
"371",43762,5,28,1,39147,"Hispanic"
"372",43767,3,15,1,4036,"White"
"373",43768,2,12,2,3196,"Asian"
"374",43881,3,17,1,3677,"White"
"375",43984,4,20,2,6397,"Hispanic"
"376",43990,5,27,1,48745,"White"
"377",44297,4,20,2,7446,"Hispanic"
"378",44312,2,12,2,1109,"White"
"379",44401,3,17,2,5163,"Hispanic"
"380",44451,6,67,2,52243,"Hispanic"
"381",44613,5,26,2,40637,"White"
"382",44669,3,14,1,4774,"Hispanic"
"383",44973,5,28,2,41464,"White"
"384",45104,6,52,2,51777,"Hispanic"
"385",45274,6,57,1,42897,"White"
"386",45319,6,76,2,59829,"White"
"387",45468,3,16,2,3141,"Hispanic"
"388",45476,2,9,2,2028,"Asian"
"389",45499,3,14,1,4363,"White"
"390",45540,5,27,1,37778,"Asian"
"391",45600,2,8,2,1332,"White"
"392",45625,5,22,1,36691,"Hispanic"
"393",45679,6,73,2,53211,"Hispanic"
"394",45755,2,11,2,1144,"Other"
"395",45798,2,11,1,1217,"White"
"396",45827,6,89,1,58304,"White"
"397",45828,1,2,1,1113,"White"
"398",45958,6,73,2,47997,"White"
"399",45962,4,19,1,10502,"White"
"400",46063,3,13,2,5872,"White"
"401",46251,5,33,2,27090,"White"
"402",46272,5,32,1,37697,"Black"
"403",46389,3,17,1,5040,"Hispanic"
"404",46498,2,7,2,2415,"White"
"405",46628,2,11,2,2167,"Hispanic"
"406",46637,5,26,2,41144,"Asian"
"407",46726,6,95,2,55187,"Hispanic"
"408",46876,6,66,2,49056,"Black"
"409",46945,5,35,1,32529,"White"
"410",46977,3,16,1,3738,"White"
"411",47043,5,25,2,38619,"Other"
"412",47059,5,30,2,44910,"Black"
"413",47217,2,7,1,2797,"Hispanic"
"414",47236,3,16,2,4975,"Hispanic"
"415",47553,3,16,2,4067,"Asian"
"416",47748,3,17,2,4918,"Black"
"417",47809,5,31,1,47778,"Asian"
"418",47887,2,9,2,2755,"Hispanic"
"419",47979,5,22,2,27058,"White"
"420",47997,6,64,2,57119,"White"
"421",48101,3,15,1,3728,"Asian"
"422",48169,3,16,2,4550,"White"
"423",48328,6,81,1,75098,"Asian"
"424",48353,2,9,1,2016,"Hispanic"
"425",48653,2,7,2,1974,"Asian"
"426",48882,4,21,2,12259,"Black"
"427",48938,5,39,2,36576,"Black"
"428",49026,3,13,2,2810,"Hispanic"
"429",49094,3,16,2,3745,"Hispanic"
"430",49199,2,10,1,2854,"Hispanic"
"431",49285,1,1,1,1592,"Hispanic"
"432",49463,3,13,2,4245,"White"
"433",49506,3,16,2,3445,"Hispanic"
"434",49533,4,18,2,3153,"Asian"
"435",49598,6,65,2,52076,"Asian"
"436",49631,2,10,2,676,"White"
"437",49818,3,16,1,4696,"Hispanic"
"438",49889,3,16,1,4949,"Black"
"439",49977,5,25,1,44916,"White"
"440",50053,4,18,1,11125,"Asian"
"441",50112,2,6,1,4163,"Hispanic"
"442",50140,3,14,2,4608,"Hispanic"
"443",50208,5,25,1,41752,"White"
"444",50222,4,19,1,7564,"Other"
"445",50270,5,25,2,46951,"Hispanic"
"446",50349,3,16,1,3555,"White"
"447",50478,2,12,1,3562,"Hispanic"
"448",50559,2,8,2,2746,"Hispanic"
"449",50652,3,15,2,3015,"White"
"450",50674,4,20,2,9369,"Asian"
"451",50783,4,21,1,8469,"Hispanic"
"452",50849,5,25,1,48021,"Black"
"453",50913,4,18,2,11723,"White"
"454",50989,3,14,2,4219,"Hispanic"
"455",51150,6,75,2,52147,"Hispanic"
"456",51253,2,7,1,633,"White"
"457",51259,2,11,1,1363,"Hispanic"
"458",51290,3,14,2,3113,"Hispanic"
"459",51420,3,13,2,3417,"White"
"460",51577,2,7,2,776,"Hispanic"
"461",51635,5,32,1,36827,"Hispanic"
"462",51712,5,23,1,43333,"White"
"463",51754,3,16,2,2054,"White"
"464",51954,2,6,1,1335,"Asian"
"465",52067,2,6,1,1790,"Black"
"466",52073,4,19,1,10531,"Asian"
"467",52177,2,12,1,3539,"Hispanic"
"468",52217,4,19,2,10230,"Hispanic"
"469",52373,5,27,1,42969,"White"
"470",52722,5,24,2,48694,"White"
"471",52727,5,30,2,33721,"Asian"
"472",52794,5,30,1,42703,"White"
"473",52868,5,30,2,35523,"White"
"474",52887,4,18,1,8869,"Hispanic"
"475",52969,6,55,2,49554,"White"
"476",53008,3,16,1,2018,"Other"
"477",53083,2,10,1,2455,"White"
"478",53225,2,6,1,3379,"Hispanic"
"479",53288,3,14,1,3580,"Hispanic"
"480",53339,6,71,2,46719,"White"
"481",53435,5,31,1,46437,"White"
"482",53658,3,14,2,5514,"White"
"483",53690,3,17,1,5228,"Hispanic"
"484",53719,5,33,1,42265,"White"
"485",53903,4,21,1,13129,"Hispanic"
"486",53996,4,19,1,8714,"Asian"
"487",54054,4,20,2,13248,"White"
"488",54067,2,12,1,1262,"White"
"489",54110,5,29,2,41013,"Asian"
"490",54223,3,17,1,2948,"White"
"491",54252,6,71,1,55428,"Asian"
"492",54406,5,25,2,38085,"Black"
"493",54675,3,13,1,4005,"White"
"494",55043,2,10,1,4152,"Hispanic"
"495",55056,6,95,1,54680,"Black"
"496",55115,3,15,1,3190,"Hispanic"
"497",55162,3,15,2,3443,"Hispanic"
"498",55300,5,45,2,46132,"Black"
"499",55314,3,17,1,2184,"Hispanic"
"500",55345,3,16,2,5412,"Hispanic"
"501",55424,5,24,2,37133,"White"
"502",55442,1,0,1,2532,"Asian"
"503",55877,3,15,1,4527,"Hispanic"
"504",55882,3,15,1,3055,"White"
"505",55958,5,32,2,40587,"White"
"506",56063,4,21,2,7488,"White"
"507",56109,4,20,1,9540,"White"
"508",56202,2,12,1,3003,"Hispanic"
"509",56203,4,19,1,7122,"Hispanic"
"510",56309,2,7,1,2191,"Hispanic"
"511",56318,6,68,2,57363,"Hispanic"
"512",56400,3,16,1,1641,"Hispanic"
"513",56533,5,26,2,37347,"White"
"514",56539,4,20,1,15278,"White"
"515",56552,4,20,1,11070,"White"
"516",56576,4,21,1,9805,"White"
"517",56592,6,88,2,54875,"Hispanic"
"518",56736,4,18,1,11054,"Other"
"519",56738,6,72,2,53834,"White"
"520",56802,5,29,1,42041,"Hispanic"
"521",56808,4,21,1,11202,"White"
"522",56855,6,64,1,60774,"White"
"523",57039,5,22,1,47954,"Hispanic"
"524",57141,5,23,2,36180,"White"
"525",57419,1,5,1,1632,"Hispanic"
"526",57420,2,6,2,3948,"Black"
"527",57504,4,19,1,12882,"White"
"528",57550,4,19,1,8700,"Asian"
"529",57601,4,19,2,11986,"Hispanic"
"530",57670,6,62,2,47420,"Hispanic"
"531",57874,3,17,2,4300,"Hispanic"
"532",57961,3,13,2,4787,"Hispanic"
"533",58075,2,12,1,2339,"Hispanic"
"534",58136,3,15,1,4345,"Hispanic"
"535",58293,3,14,1,4768,"White"
"536",58317,6,80,2,57821,"White"
"537",58357,4,20,1,9061,"Hispanic"
"538",58565,2,6,1,3530,"Asian"
"539",58680,4,21,2,4931,"Hispanic"
"540",58838,4,21,2,10385,"Asian"
"541",58862,3,17,2,3904,"White"
"542",58870,2,8,2,2590,"White"
"543",58884,5,34,1,41522,"Black"
"544",59001,5,27,1,40156,"White"
"545",59079,4,18,2,11479,"Hispanic"
"546",59154,3,15,1,4798,"Hispanic"
"547",59206,6,83,2,58803,"White"
"548",59275,4,21,2,16133,"White"
"549",59332,6,64,2,51599,"Asian"
"550",59343,5,26,1,45507,"White"
"551",59467,2,8,1,3544,"White"
"552",59660,2,9,1,1713,"Hispanic"
"553",59753,3,14,1,2462,"Hispanic"
"554",59881,4,19,2,11816,"White"
"555",60002,3,17,2,4531,"White"
"556",60018,5,35,1,36607,"White"
"557",60037,3,15,1,4884,"Hispanic"
"558",60292,3,14,2,4058,"Hispanic"
"559",60348,1,5,1,2019,"White"
"560",60352,2,7,1,3464,"Hispanic"
"561",60372,2,12,2,1539,"Hispanic"
"562",60425,3,16,2,5224,"White"
"563",60508,6,62,1,49075,"Asian"
"564",60572,6,69,2,59682,"White"
"565",60676,4,21,1,5066,"Hispanic"
"566",60864,4,20,2,5583,"Black"
"567",61004,1,4,1,456,"Hispanic"
"568",61019,1,0,1,1147,"Hispanic"
"569",61051,5,37,2,30627,"White"
"570",61120,2,7,2,3000,"Other"
"571",61187,2,11,2,2885,"Other"
"572",61192,4,20,2,6255,"Asian"
"573",61329,4,18,1,10068,"White"
"574",61449,3,14,2,5025,"Black"
"575",61467,1,1,1,2157,"Asian"
"576",61498,3,13,1,3726,"Other"
"577",61570,2,11,2,1286,"Hispanic"
"578",61588,5,24,1,47674,"White"
"579",61654,4,21,1,4731,"Hispanic"
"580",61680,3,16,2,3839,"White"
"581",61785,3,13,1,1195,"White"
"582",61806,5,24,1,46911,"Asian"
"583",61887,3,17,2,3629,"Hispanic"
"584",61944,6,52,1,48826,"White"
"585",61951,4,21,2,15718,"White"
"586",61954,4,19,1,5616,"Hispanic"
"587",62150,5,29,2,34708,"White"
"588",62191,3,17,2,3075,"Asian"
"589",62282,4,21,1,6669,"White"
"590",62302,5,23,2,39693,"White"
"591",62342,2,9,2,3552,"White"
"592",62485,5,23,1,27845,"Hispanic"
"593",62691,2,10,1,2409,"Hispanic"
"594",62913,2,8,1,2122,"White"
"595",62935,5,33,1,42458,"White"
"596",62957,5,22,2,40648,"White"
"597",63343,5,27,2,36712,"Asian"
"598",63363,5,22,2,31138,"White"
"599",63384,3,15,1,2917,"Asian"
"600",63810,6,68,2,43945,"White"
"601",63833,5,27,2,49793,"White"
"602",63959,4,20,1,10247,"Hispanic"
"603",63992,6,59,2,33110,"White"
"604",64041,2,6,1,1722,"White"
"605",64083,6,75,2,50261,"White"
"606",64181,2,8,2,2153,"Hispanic"
"607",64182,2,12,2,847,"Hispanic"
"608",64192,6,66,1,50910,"White"
"609",64319,4,20,2,11470,"Hispanic"
"610",64421,2,10,1,3584,"Black"
"611",64429,3,17,1,2722,"White"
"612",64820,6,63,2,48614,"White"
"613",64829,4,18,2,6991,"White"
"614",64899,3,16,1,3698,"Hispanic"
"615",65036,5,28,2,33278,"Asian"
"616",65255,6,54,1,50141,"Other"
"617",65274,1,5,1,2308,"Hispanic"
"618",65331,3,17,2,4527,"Hispanic"
"619",65394,2,6,1,1254,"Hispanic"
"620",65419,3,16,2,4017,"White"
"621",65431,6,53,2,53457,"White"
"622",65619,4,20,2,6829,"White"
"623",65675,2,10,2,1110,"Hispanic"
"624",65787,3,15,2,3423,"Hispanic"
"625",65901,2,12,2,1184,"Hispanic"
"626",65907,2,12,2,1854,"Black"
"627",66098,2,12,2,1689,"Hispanic"
"628",66116,4,18,2,10535,"Asian"
"629",66375,2,10,2,1560,"Hispanic"
"630",66446,4,18,2,6620,"Asian"
"631",66577,4,19,2,14729,"Hispanic"
"632",66734,5,23,1,40394,"White"
"633",66769,3,17,2,3520,"White"
"634",66818,4,19,1,14926,"Hispanic"
"635",66840,5,26,1,44588,"White"
"636",66841,6,52,2,39536,"White"
"637",67058,5,24,1,45735,"White"
"638",67230,2,11,1,2143,"Hispanic"
"639",67231,5,22,1,44002,"White"
"640",67248,4,18,2,8511,"Hispanic"
"641",67343,6,65,2,55442,"Black"
"642",67403,4,18,2,9846,"Asian"
"643",67408,5,23,2,49548,"Hispanic"
"644",67535,2,6,2,2493,"Hispanic"
"645",67616,4,20,1,13579,"Hispanic"
"646",67660,5,33,2,44765,"White"
"647",67740,5,39,2,36621,"Hispanic"
"648",67805,5,27,2,50301,"White"
"649",67978,5,27,1,32886,"Asian"
"650",68112,5,36,2,38400,"Black"
"651",68296,4,18,2,10299,"White"
"652",68353,5,25,2,34425,"White"
"653",68357,5,27,2,38331,"White"
"654",68378,2,11,2,2498,"Hispanic"
"655",68507,4,20,1,6771,"Asian"
"656",68570,4,20,2,12265,"Asian"
"657",68685,5,27,2,50353,"White"
"658",68697,3,16,1,2797,"Hispanic"
"659",68724,2,8,1,1733,"Black"
"660",68759,2,10,1,992,"White"
"661",68824,1,5,1,1339,"Asian"
"662",68830,2,8,2,1594,"Asian"
"663",68863,3,13,1,3332,"White"
"664",68944,3,13,2,4963,"Hispanic"
"665",68956,2,8,1,1417,"Hispanic"
"666",69156,4,18,1,10969,"White"
"667",69282,2,9,2,2643,"Hispanic"
"668",69499,4,20,2,10976,"Asian"
"669",69542,1,5,1,1053,"Other"
