"firm","comp","age","education","background","tenure","ceo.years","market.val","profits","sales","own.stake","USborn","birth"
"parker",1032,63,2,3,35,8,2.200000048,46,2354,0.119999997,1,"cincinnati"
"peoples",357,54,2,5,20,1,0.5,71,1117,0.059999999,1,"greenbay"
"phelps",1377,56,1,1,32,3,5.300000191,273,2434,0.180000007,1,"oakland"
"phm",600,60,0,7,42,1,85.59999847,43,1214,17.65999985,1,"detroit"
"pinnacle",669,61,2,5,2,2,0.699999988,-187,1475,0.050000001,1,"phoenix"
"pittston",613,56,2,9,8,1,0.100000001,-29,1929,0.02,1,"boston"
"pnc",1341,55,2,4,30,7,2.099999905,390,4377,0.039999999,1,"pittsb"
"policy",1088,45,2,7,11,11,2.599999905,48,415,0.170000002,1,"greensb"
"potomac",621,60,2,1,36,3,0.899999976,210,1552,0.029999999,1,"harrison"
"ppg",1461,63,1,6,23,8,3.599999905,201,5673,0.050000001,1,"bayonne"
"riteaid",925,64,1,5,39,30,46.5,118,3670,2.519999981,1,"scranton"
"ryder",782,49,2,9,18,9,1.299999952,14,5061,0.07,1,"lasvegas"
"ryland",1187,55,2,8,2,1,3.099999905,10,1214,1.210000038,1,"stlouis"
"safeco",476,50,1,9,20,0.5,1.299999952,260,3148,0.050000001,0,"vancouver"
"safety",561,61,2,6,24,24,15.39999962,52,695,0.949999988,1,"chicago"
"saralee",4039,55,1,7,32,17,35.20000076,715,12651,0.289999992,1,"westpoing"
"scana",596,60,2,5,9,2,0.300000012,136,1148,0.02,1,"stmatthews"
"shawmut",772,53,2,4,29,6,2.599999905,-171,2344,0.219999999,0,"manchester"
"swair",462,61,2,5,25,11,16.79999924,27,1314,1.029999971,1,"camden"
"tambrands",514,57,2,4,3,3,4.099999905,79,661,0.170000002,0,"s africa"
"timewarner",3409,64,0,9,30,30,29.39999962,-99,12021,0.310000002,1,"newyork"
"tyco",4530,50,2,1,27,9,31.10000038,98,3077,1.809999943,1,"newyork"
"ual",2833,50,1,3,4,4,11.69999981,-332,11663,0.389999986,1,"oakland"
"ujb",1030,55,2,4,11,11,3.299999952,22,1236,0.430000007,1,"oklahoma"
"union",768,60,2,9,30,8,0.699999988,322,2097,0.02,1,"saltlake"
"ussurgical",2497,64,0,1,28,28,221.1000061,91,844,3.980000019,1,"newyork"
"usf&g",1561,50,2,9,2,2,0.5,-176,4134,0.059999999,1,"newyork"
"usx",1856,60,2,7,33,3,0.400000006,-507,4864,0.029999999,1,"cincinnati"
"viacon",1735,47,2,7,5,5,21.70000076,-47,1712,0.519999981,1,"newyork"
"washingpost",386,46,1,10,21,1,337.3999939,119,1380,12.98999977,1,"baltimore"
"westingh",684,62,2,1,36,2,0.800000012,-1086,12794,0.01,1,"sandyridge"
"wienergy",466,48,2,1,17,1,0.200000003,189,1539,0.01,1,"porthuron"
"wpl",307,47,2,9,14,2,0.200000003,65,649,0.02,1,"pittsb"
"zions",329,37,2,4,11,1,12.89999962,29,344,4.150000095,1,"saltlake"
