"comp","age","education","background","tenure","market.val","profits","sales","own.stake","ceo.years","USborn","firm"
1097,57,"No college degree","other",27,23.60000038,-8,1872,0.1226000023,17,"USA","ich"
600,52,"Graduate degree","operations",12,4.199999809,101,21351,0.0025999999,2,"USA","kroger"
444,50,"Graduate degree","operations",25,0.100000001,-50,1569,1e-04,3,"other","lafarge"
425,74,"Undergraduate degree","finance",3,0.100000001,6,475,7e-04,3,"USA","lonestar"
467,62,"Graduate degree","technical",13,0.300000012,306,2549,1e-04,8,"USA","longisla"
427,54,"Undergraduate degree","sales",31,71.40000153,55,2366,0.1009000015,15,"USA","longs"
711,49,"Graduate degree","operations",29,0.600000024,-13,2025,0.00129999995,6,"USA","manville"
1488,58,"Undergraduate degree","operations",9,9.399999619,126,2643,0.00560000002,8,"USA","mapco"
1630,60,"Undergraduate degree","operations",36,132.5,82,8331,0.08210000038,20,"USA","mariott"
2342,71,"Undergraduate degree","finance",46,9.600000381,99,835,0.00829999983,34,"USA","marshall"
155,42,"Undergraduate degree","operations",26,373.6000061,-351,1366,0.07510000229,12,"USA","mccaw"
1622,57,"Undergraduate degree","sales",29,9.699999809,347,9886,0.00189999998,5,"USA","melville"
574,52,"Graduate degree","finance",1,0.100000001,-543,1987,1e-04,1,"USA","midlantic"
1031,55,"Undergraduate degree","technical",35,3.599999905,1154,13340,2e-04,1,"other","minn"
1671,63,"Graduate degree","finance",17,5.5,143,1967,0.00200000003,12,"USA","morton"
946,60,"Graduate degree","finance",36,2.400000095,231,2588,0.00090000004,5,"USA","nation"
493,59,"Undergraduate degree","operations",34,0.200000003,169,1556,1e-04,4,"USA","nystate"
688,54,"Graduate degree","finance",28,1689,317,3277,0.3404000092,28,"USA","nike"
670,64,"Graduate degree","other",15,1.899999976,145,1535,0.00119999997,15,"USA","nipsco"
517,59,"Undergraduate degree","sales",37,181,136,3180,0.06699999809,21,"USA","nordstrom"
2244,64,"Graduate degree","other",41,4,30,4451,0.00039999999,5,"USA","norfolk"
616,51,"Graduate degree","technical",16,0.300000012,237,2754,1e-04,9,"USA","neutilities"
889,56,"Graduate degree","technical",5,0.699999988,224,2201,0.00029999999,5,"USA","nostates"
558,62,"Graduate degree","other",34,0.200000003,265,2359,1e-04,12,"USA","ohioedison"
1207,61,"Undergraduate degree","operations",35,2.400000095,-130,3575,0.00159999996,2,"USA","owens"
854,62,"Undergraduate degree","operations",30,2.599999905,81,669,0.00170000002,3,"other","pall"
1032,63,"Graduate degree","operations",35,2.200000048,46,2354,0.00119999997,8,"USA","parker"
357,54,"Graduate degree","other",20,0.5,71,1117,0.00059999999,1,"USA","peoples"
1377,56,"Undergraduate degree","technical",32,5.300000191,273,2434,0.00180000007,3,"USA","phelps"
600,60,"No college degree","operations",42,85.59999847,43,1214,0.1765999985,1,"USA","phm"
669,61,"Graduate degree","other",2,0.699999988,-187,1475,0.00050000001,2,"USA","pinnacle"
613,56,"Graduate degree","finance",8,0.100000001,-29,1929,2e-04,1,"USA","pittston"
1341,55,"Graduate degree","finance",30,2.099999905,390,4377,0.00039999999,7,"USA","pnc"
1088,45,"Graduate degree","operations",11,2.599999905,48,415,0.00170000002,11,"USA","policy"
621,60,"Graduate degree","technical",36,0.899999976,210,1552,0.00029999999,3,"USA","potomac"
1461,63,"Undergraduate degree","sales",23,3.599999905,201,5673,0.00050000001,8,"USA","ppg"
925,64,"Undergraduate degree","other",39,46.5,118,3670,0.02519999981,30,"USA","riteaid"
782,49,"Graduate degree","finance",18,1.299999952,14,5061,7e-04,9,"USA","ryder"
1187,55,"Graduate degree","sales",2,3.099999905,10,1214,0.01210000038,1,"USA","ryland"
476,50,"Undergraduate degree","finance",20,1.299999952,260,3148,0.00050000001,0.5,"other","safeco"
561,61,"Graduate degree","sales",24,15.39999962,52,695,0.00949999988,24,"USA","safety"
4039,55,"Undergraduate degree","operations",32,35.20000076,715,12651,0.00289999992,17,"USA","saralee"
596,60,"Graduate degree","other",9,0.300000012,136,1148,2e-04,2,"USA","scana"
772,53,"Graduate degree","finance",29,2.599999905,-171,2344,0.00219999999,6,"other","shawmut"
462,61,"Graduate degree","other",25,16.79999924,27,1314,0.01029999971,11,"USA","swair"
514,57,"Graduate degree","finance",3,4.099999905,79,661,0.00170000002,3,"other","tambrands"
3409,64,"No college degree","finance",30,29.39999962,-99,12021,0.00310000002,30,"USA","timewarner"
4530,50,"Graduate degree","technical",27,31.10000038,98,3077,0.01809999943,9,"USA","tyco"
2833,50,"Undergraduate degree","operations",4,11.69999981,-332,11663,0.00389999986,4,"USA","ual"
1030,55,"Graduate degree","finance",11,3.299999952,22,1236,0.00430000007,11,"USA","ujb"
768,60,"Graduate degree","finance",30,0.699999988,322,2097,2e-04,8,"USA","union"
2497,64,"No college degree","technical",28,221.1000061,91,844,0.03980000019,28,"USA","ussurgical"
1561,50,"Graduate degree","finance",2,0.5,-176,4134,0.00059999999,2,"USA","usf&g"
1856,60,"Graduate degree","operations",33,0.400000006,-507,4864,0.00029999999,3,"USA","usx"
1735,47,"Graduate degree","operations",5,21.70000076,-47,1712,0.00519999981,5,"USA","viacon"
386,46,"Undergraduate degree","other",21,337.3999939,119,1380,0.1298999977,1,"USA","washingpost"
684,62,"Graduate degree","technical",36,0.800000012,-1086,12794,1e-04,2,"USA","westingh"
466,48,"Graduate degree","technical",17,0.200000003,189,1539,1e-04,1,"USA","wienergy"
307,47,"Graduate degree","finance",14,0.200000003,65,649,2e-04,2,"USA","wpl"
329,37,"Graduate degree","finance",11,12.89999962,29,344,0.04150000095,1,"USA","zions"
