"title","audience_score","genre","studio","runtime","mpaa_rating","rel_year","rel_month","rel_day","critics_rating","critics_score","rt_num_votes","imdb_num_votes","imdb_avg_score","budget","best_dir_win","best_actor_win","director","actor1","actor2","actor3","actor4","actor5"
"Shrink",50,"Comedy","Roadside Attractions",104,"R",2009,7,24,"Rotten",27,42784,18148,6.6,5100000,0,1,"Jonas Pate","Kevin Spacey"," Dallas Roberts"," Jack Huston"," Keke Palmer"," Pell James"
"Our Idiot Brother",51,"Comedy","The Weinstein Company",96,"R",2011,8,26,"Fresh",70,40733,82978,6.4,5e+06,0,0,"Jesse Peretz","Paul Rudd"," Elizabeth Banks"," Zooey Deschanel"," Emily Mortimer"," Steve Coogan"
"The Impostors",73,"Comedy","20th Century Fox",101,"R",1999,6,1,"Fresh",62,3758,4859,6.5,NA,0,0,"Stanley Tucci","Oliver Platt"," Stanley Tucci"," Lili Taylor"," Billy Connolly"," Steve Buscemi"
"A Dirty Shame",51,"Comedy","New Line Cinema",89,"NC17",2004,9,24,"Rotten",53,12548,12098,5.1,1.5e+07,0,0,"John Waters","Tracey Ullman"," Johnny Knoxville"," Chris Isaak"," Selma Blair"," Suzanne Shepherd"
"Six Degrees of Separation",71,"Comedy","MGM",111,"R",1993,12,10,"Fresh",88,16664,19412,6.8,1.2e+07,0,0,"Fred Schepisi","Stockard Channing"," Donald Sutherland"," Will Smith"," Ian McKellen"," Mary Beth Hurt"
"Inside Job",91,"Documentary","Sony Pictures",108,"PG-13",2010,10,8,"Certified-Fresh",98,29619,138,5.9,NA,0,0,"Charles Ferguson (III)","Matt Damon"," William Ackman"," Daniel Alpert"," Jonathan Alpert"," Sigridur Benediktsdottir"
"Brown Sugar",90,"Comedy","20th Century Fox",109,"PG-13",2002,10,11,"Fresh",66,55642,8321,6.5,8e+06,0,0,"Rick Famuyiwa","Taye Diggs"," Sanaa Lathan"," Yasiin Bey"," Nicole Ari Parker"," Boris Kodjoe"
"The Ice Harvest",43,"Action & Adventure","Focus Features",88,"R",2005,11,23,"Rotten",47,60359,22962,6.3,1.6e+07,0,0,"Harold Ramis","John Cusack"," Billy Bob Thornton"," Connie Nielsen"," Lara Phillips"," Bill Noble"
"That Thing You Do!",78,"Comedy","20th Century Fox",110,"PG",1996,10,4,"Certified-Fresh",93,126507,61290,6.9,2.6e+07,0,0,"Tom Hanks","Johnathon Schaech"," Liv Tyler"," Steve Zahn"," Ethan Embry"," Charlize Theron"
"Palo Alto",49,"Drama","Other",97,"R",2014,5,9,"Fresh",69,14055,26876,6.2,NA,0,0,"Gia Coppola","James Franco"," Emma Roberts"," Val Kilmer"," Jack Kilmer"," Nat Wolff"
"The Outpost",83,"Action & Adventure","Screen Media Films",123,"R",2020,7,3,"Certified-Fresh",92,478,1498,4,8e+06,0,0,"Rod Lurie","Scott Eastwood"," Orlando Bloom"," Jack Kesy"," Cory Hardrict"," Milo Gibson"
"Time Trap",65,"Action & Adventure","Other",87,"NR",2018,11,2,"Rotten",58,758,22965,6.3,1e+06,0,0,"Mark Dennis","Andrew Wilson"," Cassidy Gifford"," Brianne Howey"," Reiley McClendon"," Olivia Draguicevich"
"Harold & Kumar Escape from Guantanamo Bay",60,"Comedy","Warner Bros",102,"R",2008,4,24,"Rotten",52,377894,129251,6.6,1.2e+07,0,0,"Hayden Schlossberg","Kal Penn"," John Cho"," Rob Corddry"," Roger Bart"," David Krumholtz"
"The Trust",29,"Drama","Other",93,"R",2016,5,13,"Fresh",63,2563,17382,5.4,9e+06,0,1,"Alex Brewer","Nicolas Cage"," Elijah Wood"," Jerry Lewis"," Kevin Weisman"," Steven Williams"
"Music Within",78,"Drama","MGM",95,"R",2007,10,26,"Rotten",33,3924,5517,7.3,NA,0,0,"Steven Sawalich","Ron Livingston"," Melissa George"," Michael Sheen"," Yul Vázquez"," Rebecca De Mornay"
"Black Beauty",75,"Action & Adventure","Live Home Video",85,"G",1994,7,29,"Fresh",80,74339,202,5.8,NA,0,0,"Caroline Thompson","Sean Bean"," David Thewlis"," Jim Carter"," Peter Davison"," Alun Armstrong"
"Demolition Man",66,"Action & Adventure","Warner Bros",114,"R",1993,10,8,"Fresh",60,270497,155477,6.7,5.7e+07,0,0,"Marco Brambilla","Sylvester Stallone"," Wesley Snipes"," Sandra Bullock"," Nigel Hawthorne"," Benjamin Bratt"
"Fame",36,"Drama","MGM",107,"PG",2009,9,25,"Rotten",24,194974,19815,6.6,NA,0,0,"Kevin Tancharoen","Collins Pennie"," Kristy Flores"," Asher Book"," Paul Iacono"," Paul McGill"
"Blood Brother",88,"Documentary","Other",93,"NR",2013,10,25,"Fresh",73,1232,702,4.4,NA,0,0,"Jay Daniel Hendricks","Jay Daniel Hendricks"," Braedon Leslie"," Bryan Nolte"," Jarom Hendricks"," Randy Jepperson"
"Bad Reputation",84,"Documentary","Magnolia Pictures",95,"R",2018,9,28,"Fresh",79,143,687,4.2,NA,0,0,"Kevin Kerslake","Joan Jett"," Kenny Laguna"," Iggy Pop"," Billie Joe Armstrong"," Miley Cyrus"
"Blue Sky",58,"Drama","Other",101,"PG-13",1994,9,16,"Fresh",79,3836,6690,6.4,1.6e+07,1,1,"Tony Richardson","Jessica Lange"," Tommy Lee Jones"," Powers Boothe"," Carrie Snodgress"," Amy Locane"
"Kung Fu Panda",83,"Action & Adventure","Paramount Pictures",91,"PG",2008,6,6,"Certified-Fresh",87,585319,409544,7.5,1.3e+08,0,0,"John Stevenson","David Cross"," Michael Clarke Duncan"," Dan Fogler"," Wayne Knight"," Kyle Gass"
"Trust",65,"Drama","Other",106,"R",2011,4,1,"Certified-Fresh",79,10220,40750,6.9,4e+06,0,0,"David Schwimmer","Clive Owen"," Catherine Keener"," Liana Liberato"," Jason Clarke"," Viola Davis"
"Weather Girl",36,"Comedy","Other",93,"R",2009,7,10,"Rotten",33,6403,3015,5.8,NA,0,0,"Blayne Weaver","Tricia O'Kelley"," Patrick J. Adams"," Ryan Devlin"," Mark Harmon"," Kaitlin Olson"
"Hot Shots!",65,"Comedy","20th Century Fox",85,"PG-13",1991,7,31,"Fresh",83,157638,97436,6.8,2.6e+07,0,0,"Jim Abrahams","Charlie Sheen"," Cary Elwes"," Valeria Golino"," Lloyd Bridges"," Kevin Dunn"
"Mad Dog and Glory",45,"Comedy","Universal Pictures",96,"R",1993,3,5,"Fresh",77,9818,20162,6.2,1.9e+07,0,1,"John McNaughton","Robert De Niro"," Uma Thurman"," Bill Murray"," David Caruso"," Mike Starr"
"42",85,"Drama","Warner Bros",128,"PG-13",2013,4,12,"Certified-Fresh",80,119734,83372,7.5,4e+07,0,0,"Brian Helgeland","Chadwick Boseman"," Harrison Ford"," Nicole Beharie"," Christopher Meloni"," Ryan Merriman"
"Mope",NA,"Comedy","Other",105,"NR",2020,6,16,"Rotten",53,NA,339,5.1,NA,0,0,"Lucas Heyne","David Arquette"," Kelly Sry"," Brian Huskey"," Max Adler"," Nathan Stewart-Jarrett"
"Darkman",59,"Action & Adventure","Universal Pictures",95,"R",1990,1,1,"Certified-Fresh",84,53254,57296,6.4,1.6e+07,0,0,"Sam Raimi","Liam Neeson"," Frances McDormand"," Colin Friels"," Larry Drake"," Nelson Mashita"
"Johnny Got His Gun",62,"Drama","Other",75,"NR",2008,8,22,"Rotten",21,153,15306,7.9,1e+06,0,0,"Rowan Joseph","Benjamin McKenzie",NA,NA,NA,NA
"A Million Ways to Die in the West",41,"Comedy","Universal Pictures",115,"R",2014,5,30,"Rotten",33,64677,169209,6.1,4e+07,0,0,"Seth MacFarlane","Seth MacFarlane"," Amanda Seyfried"," Charlize Theron"," Liam Neeson"," Giovanni Ribisi"
"Forget Paris",56,"Comedy","Sony Pictures",101,"PG-13",1995,5,19,"Rotten",50,9813,11216,6.5,NA,0,0,"Billy Crystal","Billy Crystal"," Debra Winger"," Joe Mantegna"," Cynthia Stevenson"," Richard Masur"
"Breaking Upwards",57,"Drama","IFC Films",88,"NR",2010,4,2,"Fresh",60,1164,1315,6.2,15000,0,0,"Daryl Wein","Daryl Wein"," Zoe Lister-Jones"," Julie White"," Olivia Thirlby"," Peter Friedman"
"Ava's Possessions",41,"Horror","Other",89,"R",2016,3,4,"Fresh",69,315,2807,5.6,NA,0,0,"Jordan Galland","Louisa Krause"," Jemima Kirke"," Dan Fogler"," Whitney Able"," Carol Kane"
"Exposed",15,"Drama","Lionsgate Entertainment",102,"R",2016,1,22,"Rotten",8,1216,109,5.9,NA,0,0,"Gee Malik Linton","Ana de Armas"," Keanu Reeves"," Christopher McDonald"," Big Daddy Kane"," Mira Sorvino"
"The Amazing Panda Adventure",41,"Action & Adventure","Warner Bros",84,"PG",1995,8,25,"Rotten",20,8903,3802,5.8,NA,0,0,"Christopher Cain","Stephen Lang"," Ryan Slater"," Yi Ding (II)"," Fei Lung Huang"," Wang Fei"
"Jackals",21,"Horror","Other",85,"NR",2017,9,1,"Rotten",44,138,156,5.6,NA,0,0,"Kevin Greutert","Stephen Dorff"," Deborah Kara Unger"," Johnathon Schaech"," Nick Roux"," Alyssa Julya Smith"
"The Dead Center",47,"Mystery & Suspense","Other",93,"NR",2019,10,11,"Fresh",94,58,1717,5.6,NA,0,0,"Billy Senese","Shane Carruth"," Poorna Jagannathan"," Jeremy Childs",NA,NA
"50 First Dates",65,"Comedy","Sony Pictures",96,"PG-13",2004,2,13,"Rotten",45,32700188,320588,6.8,7.5e+07,0,0,"Peter Segal","Adam Sandler"," Drew Barrymore"," Rob Schneider"," Sean Astin"," Blake Clark"
"Swordfish",59,"Action & Adventure","Warner Bros",99,"R",2001,6,8,"Rotten",25,244611,174509,6.5,1.02e+08,0,0,"Dominic Sena","John Travolta"," Hugh Jackman"," Halle Berry"," Don Cheadle"," Vinnie Jones"
"Blind Fury",51,"Action & Adventure","Sony Pictures",82,"R",1990,3,16,"Rotten",54,9600,14515,6.4,1e+07,0,0,"Phillip Noyce","Rutger Hauer"," Brandon Call"," Terry O'Quinn"," Terrance O'Quinn"," Lisa Blount"
"Vampire in Brooklyn",31,"Comedy","Paramount Pictures",101,"R",1995,10,27,"Rotten",12,51409,21153,4.6,2e+07,0,0,"Wes Craven","Eddie Murphy"," Angela Bassett"," Allen Payne"," Kadeem Hardison"," John Witherspoon"
"Old Joy",71,"Drama","Other",76,"NR",2006,8,25,"Certified-Fresh",85,5562,6278,6.8,3e+05,0,0,"Kelly Reichardt","Daniel London"," Daniel A. Lomino"," Will Oldham"," Tanya Smith"," Lucy"
"Mom and Dad Save the World",43,"Comedy","HBO Video",88,"PG",1992,7,24,"Rotten",9,9409,4304,5.4,1.4e+07,0,0,"Greg Beeman","Jon Lovitz"," Teri Garr"," Jeffrey Jones"," Eric Idle"," Wallace Shawn"
"Jane Eyre",76,"Drama","Focus Features",118,"PG-13",2011,3,11,"Certified-Fresh",84,33318,329,4.3,NA,0,0,"Cary Joji Fukunaga","Mia Wasikowska"," Michael Fassbender"," Jamie Bell"," Judi Dench"," Holliday Grainger"
"The Others",77,"Horror","Miramax Pictures",101,"PG-13",2001,8,10,"Certified-Fresh",83,344417,109,4.6,NA,0,1,"Alejandro Amenábar","Nicole Kidman"," Alakina Mann"," James Bentley"," Fionnula Flanagan"," Christopher Eccleston"
"Premature",68,"Drama","IFC Films",86,"NR",2020,2,21,"Certified-Fresh",92,79,9519,5.8,NA,0,0,"Rashaad Ernesto Green","Imani Lewis"," Jimmy Lee Gary Jr."," Meeya Davis"," Ozzie Stewart"," Tashiana Washington"
"Cast Away",84,"Action & Adventure","20th Century Fox",143,"PG-13",2000,12,22,"Certified-Fresh",88,743965,510788,7.8,9e+07,1,1,"Robert Zemeckis","Tom Hanks"," Helen Hunt"," Nick Searcy"," Lari White"," Geoffrey Blake"
"Paranormal Activity 4",34,"Horror","Paramount Pictures",87,"R",2012,10,19,"Rotten",23,118034,61190,4.6,5e+06,0,0,"Ariel Schulman","Katie Featherston"," Kathryn Newton"," Matt Shively"," Brady Allen"," Stephen Dunham"
"Nick of Time",47,"Action & Adventure","Paramount Pictures",89,"R",1995,11,22,"Rotten",32,57383,38419,6.3,3.3e+07,0,0,"John Badham","Johnny Depp"," Christopher Walken"," Charles S. Dutton"," Courtney Chase"," Roma Maffia"
"Last Dance",50,"Cult Movies","Touchstone Pictures",103,"R",1996,5,3,"Rotten",32,5404,206,4.9,NA,0,0,"Bruce Beresford","Sharon Stone"," Rob Morrow"," Randy Quaid"," Peter Gallagher"," Jack Thompson"
"28 Days",50,"Comedy","Columbia Pictures",103,"PG-13",2000,2,8,"Rotten",33,319745,43672,6.1,4.3e+07,0,1,"Betty Thomas","Sandra Bullock"," Viggo Mortensen"," Dominic West"," Elizabeth Perkins"," Steve Buscemi"
"Dig Two Graves",39,"Horror","Other",85,"NR",2017,3,24,"Fresh",71,617,2954,5.7,NA,0,0,"Hunter Adams","Ted Levine"," Samantha Isler"," Danny Goldring"," Ann Sonneville"," Troy Ruptash"
"The Lost City",64,"Drama","Magnolia Pictures",143,"R",2005,9,3,"Rotten",25,25944,249,5.1,NA,0,0,"Andy Garcia","Andy Garcia"," Dustin Hoffman"," Bill Murray"," Inés Sastre"," Tomás Milian"
"The Juror",31,"Drama","Sony Pictures",116,"R",1996,2,2,"Rotten",18,15186,16846,5.7,4.4e+07,0,0,"Brian Gibson","Demi Moore"," Alec Baldwin"," Joseph Gordon-Levitt"," Anne Heche"," James Gandolfini"
"Strings",83,"Art House & International","Other",89,"PG",2004,9,30,"Fresh",80,5252,309,6.6,650000,0,0,"Anders Rønnow Klarlund","James McAvoy"," Catherine McCormack"," Julian Glover"," Derek Jacobi"," Ian Hart"
"Tiger Eyes",53,"Drama","Freestyle Releasing",92,"PG-13",2013,6,7,"Fresh",66,723,1845,6.3,NA,0,0,"Lawrence Blume","Willa Holland"," Tatanka Means"," Russell Means"," Cynthia Stevenson"," Elise Eberle"
"Two Family House",81,"Drama","Lionsgate Entertainment",107,"R",2000,10,6,"Fresh",89,1040,1597,7.1,NA,0,0,"Raymond De Felitta","Michael Rispoli"," Kelly Macdonald"," Kathrine Narducci"," Kevin Conway"," Matt Servitto"
"Elephant",79,"Drama","Other",81,"R",2003,11,7,"Fresh",73,59170,84470,7.2,3e+06,0,0,"Gus Van Sant","Alex Frost"," Eric Deulen"," John Robinson (IX)"," Elias McConnell"," Jordan Taylor"
"Pretty Persuasion",62,"Comedy","Samuel Goldwyn Films",110,"R",2005,8,12,"Rotten",33,9639,9821,6.5,2500000,0,0,"Marcos Siega","Evan Rachel Wood"," Ron Livingston"," James Woods"," Jane Krakowski"," Elisabeth Harnois"
"Weekend at Bernie's II",41,"Comedy","TriStar Pictures",90,"PG",1993,1,1,"Rotten",10,37256,12436,4.9,7e+06,0,0,"Robert Klane","Andrew McCarthy"," Jonathan Silverman"," Terry Kiser"," Troy Beyer"," Barry Bostwick"
"Radioland Murders",59,"Comedy","Universal Pictures",108,"PG",1994,10,21,"Rotten",24,2877,3323,6.2,1.5e+07,0,0,"Mel Smith","Brian Benben"," Mary Stuart Masterson"," Ned Beatty"," George Burns"," Scott Michael Campbell"
"Laurel Canyon",52,"Art House & International","Sony Pictures",101,"R",2003,3,7,"Fresh",68,9227,15793,6.4,NA,0,1,"Lisa Cholodenko","Frances McDormand"," Christian Bale"," Kate Beckinsale"," Natascha McElhone"," Alessandro Nivola"
"My One and Only",51,"Comedy","Freestyle Releasing",108,"PG-13",2009,8,21,"Fresh",68,16935,8422,6.5,NA,0,0,"Richard Loncraine","Renée Zellweger"," Kevin Bacon"," Logan Lerman"," Mark Rendall"," Steven Weber"
"Norbit",53,"Comedy","Other",102,"PG-13",2007,2,9,"Rotten",9,660443,67266,4.1,6e+07,0,0,"Brian Robbins","Eddie Murphy"," Thandie Newton"," Terry Crews"," Clifton Powell"," Cuba Gooding Jr."
"King Kong",50,"Action & Adventure","Universal Pictures",187,"PG-13",2005,12,14,"Certified-Fresh",84,33766734,77507,7.9,670000,1,0,"Peter Jackson","Naomi Watts"," Jack Black"," Adrien Brody"," Thomas Kretschmann"," Colin Hanks"
"Hotel Transylvania",72,"Animation","Sony Pictures",95,"PG",2012,9,28,"Rotten",45,151358,218566,7.1,8.5e+07,0,0,"Genndy Tartakovsky","Adam Sandler"," Selena Gomez"," Andy Samberg"," Kevin James"," Fran Drescher"
"One Night Stand",38,"Drama","New Line Home Entertainment",102,"R",1997,11,14,"Rotten",32,4569,126,3.7,NA,0,0,"Mike Figgis","Wesley Snipes"," Nastassja Kinski"," Ming-Na Wen"," Robert Downey Jr."," Kyle MacLachlan"
"The Big Green",46,"Comedy","Walt Disney Studios",99,"PG",1995,9,29,"Rotten",0,36217,9107,5.6,1.2e+07,0,0,"Holly Goldberg Sloan","Olivia d'Abo"," Hayley Miller"," Steve Guttenberg"," Areil Welch"," Jay O. Sanders"
"The Truman Show",89,"Comedy","Paramount Pictures",102,"PG",1998,6,5,"Certified-Fresh",95,583651,910502,8.1,6e+07,0,0,"Peter Weir","Jim Carrey"," Ed Harris"," Laura Linney"," Noah Emmerich"," Natascha McElhone"
"Switchback",46,"Action & Adventure","Paramount Pictures",118,"R",1997,10,31,"Rotten",32,7453,12317,6.4,3.7e+07,0,0,"Jeb Stuart","Dennis Quaid"," Danny Glover"," Jared Leto"," R. Lee Ermey"," Ted Levine"
"One Last Thing",61,"Comedy","Magnolia Pictures",96,"R",2006,5,5,"Rotten",11,21320,400,6.2,NA,0,0,"Alex Steyermark","Michael Angarano"," Cynthia Nixon"," Maxime Alvarez de Toledo"," Robert Bizik"," Michael Rispoli"
"Panic Room",63,"Drama","Sony Pictures",112,"R",2002,3,29,"Certified-Fresh",75,235911,253016,6.8,4.8e+07,0,1,"David Fincher","Jodie Foster"," Kristen Stewart"," Forest Whitaker"," Dwight Yoakam"," Jared Leto"
"The Skeptic",27,"Horror","IFC Films",89,"NR",2009,5,1,"Rotten",8,10246,3938,5.6,NA,0,0,"Tennyson Bardwell","Tim Daly"," Tom Arnold"," Zoe Saldana"," Andrea Roth"," Edward Herrmann"
"Park",48,"Art House & International","Other",86,"R",2006,6,12,"Rotten",36,684,1157,5.7,NA,0,0,"Kurt Voelker","William Baldwin"," Ricki Lake"," Dave Fenner"," Cheri Oteri"," Melanie Lynskey"
"Jay and Silent Bob Strike Back",75,"Comedy","Other",104,"R",2001,8,24,"Rotten",52,304234,146997,6.8,2.2e+07,0,0,"Kevin Smith","Jason Mewes"," Kevin Smith"," Ben Affleck"," Shannon Elizabeth"," Eliza Dushku"
"Rocket Science",72,"Art House & International","Other",101,"R",2007,8,10,"Certified-Fresh",84,20926,12838,6.6,6e+06,0,0,"Jeffrey Blitz","Nick D'Agosto"," Anna Kendrick"," Roland Branford Gomez"," Brandon Thane Wilson"," David DeBoy"
"Literally, Right Before Aaron",48,"Comedy","Screen Media Films",102,"NR",2017,9,29,"Rotten",25,261,2131,4.6,NA,0,0,"Ryan Eggold","Justin Long"," Cobie Smulders"," Ryan Hansen"," John Cho"," Lea Thompson"
"Off and Running",73,"Documentary","First Run Features",76,"NR",2010,1,29,"Fresh",88,155,193,5.4,NA,0,0,"Nicole Opper","Avery Klein-Cloud",NA,NA,NA,NA
"Run for Cover",60,"Action & Adventure","Other",83,"NR",1995,12,31,"Fresh",83,122,1306,6.7,NA,0,0,"Richard Haines","Adam West"," Ed Koch"," Al Sharpton"," Thomas Dunne"," Viveca Lindfors"
"68 Kill",54,"Comedy","Other",93,"NR",2017,8,4,"Fresh",70,517,4694,6,NA,0,0,"Trent Haaga","Matthew Gray Gubler"," AnnaLynne McCord"," Alisha Boe"," Sheila Vand"," Sam Eidson"
"Mapplethorpe",63,"Drama","Samuel Goldwyn Films",102,"NR",2019,3,1,"Rotten",33,47,1027,6.1,NA,0,0,"Ondi Timoner","Marianne Rendón"," John Benjamin Hickey"," Brandon Sklenar"," McKinley Belcher III"," Mark Moses"
"The Lost",62,"Horror","Anchor Bay Entertainment",119,"R",2008,5,2,"Fresh",83,739,2551,5.9,NA,0,0,"Chris Sivertson","Marc Senter"," Shay Astar"," Alex Frost"," Megan Henning"," Robin Sydney"
"Live Nude Girls",39,"Comedy","Other",92,"R",1995,12,8,"Rotten",38,1026,1654,5.2,NA,0,0,"Julianna Lavin","Dana Delany"," Kim Cattrall"," Cynthia Stevenson"," Laila Robins"," Lora Zane"
"Erin Brockovich",81,"Comedy","Universal Pictures",131,"R",2000,3,17,"Certified-Fresh",84,418647,170733,7.3,5.2e+07,1,1,"Steven Soderbergh","Julia Roberts"," Aaron Eckhart"," Albert Finney"," Marg Helgenberger"," Cherry Jones"
"Jessabelle",30,"Drama","Lionsgate Entertainment",90,"PG-13",2014,11,7,"Rotten",28,13016,22140,5.4,NA,0,0,"Kevin Greutert","Sarah Snook"," Mark Webber"," David Andrews"," Joelle Carter"," Ana de la Reguera"
"Father Figures",24,"Comedy","Warner Bros",113,"R",2017,12,22,"Rotten",17,4377,17279,5.5,2.5e+07,0,0,"Lawrence Sher","Owen Wilson"," Ed Helms"," J.K. Simmons"," Katt Williams"," Terry Bradshaw"
"Anesthesia",50,"Drama","IFC Films",89,"R",2016,1,8,"Rotten",25,730,4243,6.1,NA,0,0,"Tim Blake Nelson","Glenn Close"," K. Todd Freeman"," Kristen Stewart"," Gretchen Mol"," Jessica Hecht"
"Tony 'n' Tina's Wedding",55,"Comedy","Other",108,"R",2007,12,5,"Rotten",25,28039,251,4,1500000,0,0,"Roger Paradiso","Joey McIntyre"," Mila Kunis"," Priscilla Lopez"," John Fiore"," Daisy Eagan"
"So B. It",90,"Drama","Other",98,"PG-13",2017,10,6,"Rotten",45,119,465,6.6,NA,0,0,"Stephen Gyllenhaal","Talitha Bateman"," Alfre Woodard"," John Heard"," Jessica Collins"," Jacinda Barrett"
"Nightlight",12,"Horror","Lionsgate Entertainment",84,"R",2015,3,27,"Rotten",14,217,1897,4.4,2e+06,0,0,"Bryan Woods","Shelby Young"," Chloe Bridges"," Carter Jenkins"," Mitch Hewer"," Taylor Ashley Murphy"
"Solaris",59,"Drama","20th Century Fox",99,"PG-13",2002,11,27,"Fresh",66,47917,78140,6.2,4.7e+07,1,0,"Steven Soderbergh","George Clooney"," Natascha McElhone"," Jeremy Davies"," Viola Davis"," Ulrich Tukur"
"The Hate U Give",83,"Drama","20th Century Fox",133,"PG-13",2018,10,19,"Certified-Fresh",97,4416,28869,7.4,2.3e+07,0,0,"George Tillman Jr.","Amandla Stenberg"," Regina Hall"," Russell Hornsby"," KJ Apa"," Lamar Johnson"
"Cadillac Records",65,"Drama","Sony Pictures",108,"R",2008,12,5,"Fresh",67,63236,19765,7,1.2e+07,0,1,"Darnell Martin","Adrien Brody"," Beyoncé Knowles"," Emmanuelle Chriqui"," Gabrielle Union"," Yasiin Bey"
"Money Train",29,"Action & Adventure","Sony Pictures",110,"R",1995,11,22,"Rotten",22,50175,38303,5.7,6.8e+07,0,0,"Joseph Ruben","Wesley Snipes"," Woody Harrelson"," Jennifer Lopez"," Robert Blake"," Chris Cooper"
"Pi",85,"Action & Adventure","Other",85,"R",1998,7,10,"Certified-Fresh",88,108501,167656,7.4,60000,0,0,"Darren Aronofsky","Sean Gullette"," Mark Margolis"," Ben Shenkman"," Pamela Hart"," Stephen Pearlman"
"Mortal Thoughts",35,"Comedy","Sony Pictures",104,"R",1991,4,19,"Rotten",57,6519,8175,5.7,8e+06,0,0,"Alan Rudolph","Demi Moore"," Glenne Headly"," Bruce Willis"," John Pankow"," Harvey Keitel"
"We Are Boats",56,"Drama","Unknown",108,"NR",2019,3,8,"Rotten",50,9,527,6,NA,0,0,"","Angela Sarafyan"," Adriana Mather"," Justin Cornwell"," Luke Hemsworth"," Jack Falahee"
"Aquamarine",61,"Comedy","20th Century Fox",103,"PG",2006,3,3,"Rotten",51,296552,37299,5.3,1.2e+07,0,0,"Elizabeth Allen","Emma Roberts"," Joanna 'JoJo' Levesque"," Sara Paxton"," Jake McDorman"," Arielle Kebbel"
